City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
239,rongelap,11.1635,166.8941,27.04,77,100,9.11,MH,1704332883
240,santa ana,33.7456,-117.8678,15.89,66,20,3.6,US,1704332879
241,anna regina,7.2644,-58.5077,25.58,86,19,3.96,GY,1704332884
242,san antonio de pale,-1.4014,5.6325,26.91,77,100,4.58,GQ,1704332884
243,arno,60.1167,18.6333,-10.12,82,100,7.18,SE,1704332884
244,homeland park,34.4707,-82.6707,6.55,69,100,2.57,US,1704332884
245,labytnangi,66.6572,66.4183,-21.66,89,34,3.39,RU,1704332885
246,kailua-kona,19.6406,-155.9956,26.98,70,20,4.12,US,1704332885
247,geraldton,-28.7667,114.6,29.23,28,0,9.77,AU,1704332853
248,namibe,-15.1961,12.1522,21.42,72,19,3.65,AO,1704332885
249,urengoy,65.9667,78.3667,-20.85,98,100,7.52,RU,1704332885
250,zhosaly,45.4878,64.0781,0.3,54,100,5.04,KZ,1704332886
251,tindouf,27.6711,-8.1474,12.25,24,0,2.06,DZ,1704332886
252,colico piano,46.1324,9.3698,7.8,83,23,2.42,IT,1704332886
253,tual,-5.6667,132.75,26.9,84,100,2.55,ID,1704332661
254,kerikeri,-35.2268,173.9474,20.19,71,98,2.51,NZ,1704332677
255,dakhla,23.6848,-15.958,18.94,65,0,5.74,EH,1704332887
256,sao joao da barra,-21.6403,-41.0511,23.68,96,100,3.4,BR,1704332887
257,viedma,-40.8135,-62.9967,23.05,58,90,6.98,AR,1704332640
258,mount isa,-20.7333,139.5,30.87,55,71,3.6,AU,1704332673
259,yass,-34.8333,148.9167,26.37,68,100,0.89,AU,1704332888
260,ixtapa,20.7,-105.2,24.57,65,0,2.57,MX,1704332888
261,san patricio,28.017,-97.5169,12.13,75,24,4.11,US,1704332888
262,heniches'k,46.1759,34.8034,6.92,93,100,7.11,UA,1704332888
263,remire-montjoly,4.9167,-52.2667,27.02,83,40,1.54,GF,1704332889
264,port saint john's,-31.6229,29.5448,21.27,93,100,3.1,ZA,1704332673
265,karratha,-20.7377,116.8463,30.58,45,0,3.68,AU,1704332889
266,grand falls-windsor,48.9332,-55.6649,-4.98,92,92,0.43,CA,1704332659
267,bodo,67.28,14.405,-7.9,49,0,11.32,NO,1704332646
268,birganj,27.0104,84.8774,12.53,48,0,0.86,NP,1704332890
269,nouadhibou,20.931,-17.0347,18.99,59,0,6.17,MR,1704332890
270,an nuhud,12.7,28.4333,14.95,27,100,5.31,SD,1704332890
271,at-bashi,41.1702,75.8106,-12.39,78,62,1.05,KG,1704332890
272,aitape,-3.1374,142.3475,29.68,71,100,1.77,PG,1704332891
273,carbonear,47.7332,-53.2148,0.7,86,100,1.96,CA,1704332891
274,sierra grande,-41.606,-65.3557,19.84,78,100,8.11,AR,1704332891
275,starodub,52.5844,32.7633,-12.84,95,100,7.13,RU,1704332891
276,santa maria da vitoria,-13.3947,-44.1886,22.21,96,100,0.97,BR,1704332892
277,whangarei,-35.7317,174.3239,20.72,74,92,2.03,NZ,1704332724
278,portland,45.5234,-122.6762,9.78,92,100,3.6,US,1704332206
279,magugu,-4.0167,35.7667,18.44,94,96,1.22,TZ,1704332892
280,derzhavinsk,51.1,66.3167,-8.4,78,100,4.47,KZ,1704332892
281,arenapolis,-14.4503,-56.8461,22.05,96,92,0.95,BR,1704332893
282,vilyuysk,63.7553,121.6247,-32.68,100,99,2.28,RU,1704332893
283,tell city,37.9514,-86.7678,3.65,83,100,4.63,US,1704332755
284,ishigaki,24.3448,124.1572,20.07,52,20,6.69,JP,1704332893
285,jeddah,21.5169,39.2192,21.92,60,0,1.54,SA,1704332894
286,nicoya,10.1483,-85.452,24.81,80,53,1.46,CR,1704332894
287,hadibu,12.65,54.0333,23.45,72,5,3.85,YE,1704332894
288,santa ana de yacuma,-13.75,-65.4333,25.75,83,100,1.99,BO,1704332894
289,sitka,57.0531,-135.33,7.94,61,100,8.23,US,1704332894
290,punta arenas,-53.15,-70.9167,14.06,72,75,10.8,CL,1704332895
291,villa gesell,-37.2639,-56.973,20.59,86,25,6.55,AR,1704332895
292,tsiombe,-25.3,45.4833,22.0,83,32,3.96,MG,1704332652
293,as sulayyil,20.4607,45.5779,20.14,37,98,1.43,SA,1704332895
294,naze,28.3667,129.4833,15.51,56,1,7.1,JP,1704332896
295,northam,51.0333,-4.2167,9.03,92,11,8.54,GB,1704332896
296,plettenberg bay,-34.0527,23.3716,18.98,92,67,3.85,ZA,1704332896
297,malvan,16.0667,73.4667,23.72,63,100,1.67,IN,1704332896
298,petropavlovsk-kamchatsky,53.0452,158.6483,-12.67,67,0,4.0,RU,1704332896
299,xilin hot,43.9667,116.0333,-8.81,83,10,8.61,CN,1704332897
300,novodvinsk,64.4165,40.8122,-22.9,99,74,1.77,RU,1704332897
301,vila velha,-20.3297,-40.2925,25.97,95,100,2.68,BR,1704332762
302,el granada,37.5027,-122.4694,13.22,82,20,8.75,US,1704332897
303,yabelo,4.8833,38.0833,15.42,46,15,2.68,ET,1704332898
304,malakal,9.5334,31.6605,21.82,23,4,3.39,SS,1704332898
305,ust'-uda,54.1742,103.0304,-10.29,83,100,4.58,RU,1704332898
306,vorkuta,67.5,64.0,-20.42,97,100,6.57,RU,1704332898
307,montepuez,-13.1256,38.9997,20.74,97,98,1.67,MZ,1704332899
308,robore,-18.3333,-59.75,25.37,78,100,1.01,BO,1704332899
309,calabugao,8.4564,125.1589,26.72,60,32,1.11,PH,1704332899
310,taseyevo,57.2169,94.8978,-17.83,88,100,4.85,RU,1704332899
311,guerrero negro,27.9769,-114.0611,16.95,65,0,8.79,MX,1704332900
312,wodonga,-36.1167,146.8833,27.56,61,100,1.33,AU,1704332883
313,toamasina,-18.1667,49.3833,27.0,94,20,2.57,MG,1704332900
314,micheweni,-4.9667,39.8333,27.75,80,27,4.93,TZ,1704332900
315,yangambi,0.8102,24.4336,22.33,79,98,0.8,CD,1704332900
316,ahar,38.4774,47.0699,0.49,82,13,2.98,IR,1704332901
317,harlingen,26.1906,-97.6961,14.94,83,0,5.66,US,1704332901
318,cercado abajo,18.7268,-71.5174,19.47,92,74,0.32,DO,1704332901
319,new plymouth,-39.0667,174.0833,19.89,65,67,4.04,NZ,1704332902
320,asau,46.4333,26.4,8.51,76,99,4.77,RO,1704332902
321,kenora,49.8167,-94.4337,-10.46,67,75,1.54,CA,1704332902
322,mount gambier,-37.8333,140.7667,22.05,50,100,5.86,AU,1704332717
323,mejit,10.2753,170.8646,26.91,76,50,10.53,MH,1704332902
324,sulak,43.2734,47.5146,6.44,79,91,6.8,RU,1704332903
325,heyuan,23.7333,114.6833,13.75,43,0,1.15,CN,1704332903
326,ostersund,63.1792,14.6357,-15.75,85,100,4.12,SE,1704332903
327,tarawa,1.419,172.984,26.05,100,100,5.14,KI,1704332671
328,sijunjung,-0.6876,100.9537,24.85,88,100,0.38,ID,1704332904
329,antsiranana,-12.2787,49.2917,27.29,78,73,5.29,MG,1704332665
330,saudarkrokur,65.7461,-19.6394,-6.93,89,33,2.73,IS,1704332904
331,gargalianoi,37.0667,21.6333,11.86,78,99,2.7,GR,1704332904
332,gazojak,41.1875,61.4036,6.86,50,100,3.38,TM,1704332904
333,bonthe,7.5264,-12.505,25.81,85,5,2.46,SL,1704332682
334,jinghong,21.991,100.7341,18.23,66,0,0.92,CN,1704332905
335,cabo san lucas,22.8909,-109.9124,22.09,61,0,2.57,MX,1704332599
336,bel ombre,-4.6167,55.4167,27.91,78,40,1.54,SC,1704332905
337,arauca,7.0847,-70.7591,25.98,83,20,0.0,CO,1704332905
